Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Los Angeles Chargers,5,66,1446,281,5.1,9,4,74,106,153,960,5,5,5.8,42,115,486,2,4.2,25,26,197,7,23.6,16.4,31.70
2,Minnesota Vikings,5,76,1651,343,4.8,13,2,96,139,230,1315,8,11,5.3,73,93,336,1,3.6,15,40,357,8,21.7,21.7,57.34
3,New York Jets,5,85,1279,300,4.3,6,4,84,81,140,683,2,2,4.3,36,142,596,4,4.2,34,30,309,14,32.1,10.7,22.40
4,Kansas City Chiefs,5,85,1527,295,5.2,4,2,88,105,168,1085,7,2,6.1,53,118,442,2,3.7,27,35,308,8,34.7,8.2,2.49
5,Pittsburgh Steelers,6,86,1765,350,5.0,11,4,101,125,193,1252,7,7,6.0,61,143,513,2,3.6,35,40,394,5,27.4,17.7,12.92
6,Detroit Lions,5,91,1647,317,5.2,10,3,111,130,202,1231,4,7,5.7,66,100,416,5,4.2,25,26,215,20,33.3,18.5,5.07
7,Denver Broncos,6,96,1706,384,4.4,8,3,110,123,191,1021,5,5,4.8,62,171,685,4,4.0,32,48,327,16,28.6,10.0,40.92
8,Chicago Bears,6,101,1752,352,5.0,13,6,98,118,188,1080,4,7,5.2,55,146,672,6,4.6,37,47,348,6,30.0,18.6,40.20
9,Buffalo Bills,5,106,1712,324,5.3,9,4,97,114,173,992,6,5,5.3,54,138,720,4,5.2,38,34,270,5,34.0,17.0,4.32
10,Tennessee Titans,5,110,1244,288,4.3,3,2,76,81,138,685,5,1,4.7,35,141,559,3,4.0,31,39,338,10,35.2,3.7,17.21
11,Philadelphia Eagles,5,112,1707,298,5.7,2,0,96,97,159,1092,7,2,6.4,52,128,615,3,4.8,36,26,211,8,46.9,4.1,-27.95
12,Miami Dolphins,5,113,1427,272,5.2,4,1,82,81,129,798,3,3,5.8,39,134,629,8,4.7,34,40,342,9,35.1,7.0,7.83
13,Green Bay Packers,6,121,2032,375,5.4,17,8,124,134,207,1372,10,9,6.2,68,152,660,4,4.3,44,37,277,12,30.3,24.2,7.12
14,New York Giants,6,121,1884,344,5.5,6,5,99,132,185,1186,7,1,5.6,59,133,698,3,5.2,34,45,366,6,34.9,9.5,-1.54
15,San Francisco 49ers,6,130,1897,350,5.4,11,5,103,120,195,1291,8,6,6.1,64,139,606,5,4.4,33,31,232,6,38.7,16.1,2.37
16,Houston Texans,6,135,1662,349,4.8,7,2,98,96,180,979,12,5,4.9,51,150,683,4,4.6,34,37,229,13,34.3,10.0,7.74
17,Atlanta Falcons,6,135,2014,389,5.2,7,2,127,139,190,1158,8,5,5.9,66,194,856,4,4.4,56,45,355,5,50.0,10.3,-19.04
18,Los Angeles Rams,5,139,1864,300,6.2,4,2,106,89,128,1076,10,2,7.9,44,163,788,6,4.8,50,34,337,12,48.0,8.0,-63.33
19,Indianapolis Colts,6,139,2337,407,5.7,9,5,130,135,193,1406,9,4,6.9,68,202,931,6,4.6,51,35,296,11,40.9,13.6,-34.38
20,Tampa Bay Buccaneers,6,141,2194,406,5.4,9,4,129,159,245,1514,6,5,5.8,74,144,680,8,4.7,43,36,358,12,40.0,12.3,-21.49
21,Cleveland Browns,6,141,2002,366,5.5,5,4,109,102,174,1178,6,1,6.2,56,177,824,8,4.7,47,42,325,6,37.1,5.7,-16.69
22,New England Patriots,6,143,2153,381,5.7,7,4,121,134,198,1371,7,3,6.5,69,169,782,7,4.6,40,32,301,12,42.9,7.9,-40.10
23,Washington Commanders,6,145,2124,354,6.0,4,3,127,121,173,1298,12,1,6.8,72,164,826,5,5.0,45,33,249,10,50.0,7.4,-63.24
24,New Orleans Saints,6,147,2375,391,6.1,12,2,124,143,221,1573,5,10,6.7,70,155,802,7,5.2,43,44,368,11,39.4,18.2,-14.53
25,Baltimore Ravens,6,149,2008,358,5.6,5,2,118,149,222,1654,11,3,6.9,88,117,354,5,3.0,16,29,212,14,43.1,7.7,-41.47
26,Seattle Seahawks,6,150,2038,373,5.5,4,2,111,121,182,1170,9,2,5.9,59,174,868,6,5.0,42,41,342,10,37.0,5.5,-5.77
27,Cincinnati Bengals,6,152,2136,401,5.3,6,2,136,127,196,1260,10,4,6.2,66,197,876,7,4.4,60,25,179,10,41.9,9.7,-56.16
28,Las Vegas Raiders,6,163,1959,364,5.4,2,0,108,121,180,1117,8,2,5.8,59,170,842,7,5.0,40,46,342,9,43.3,3.0,-14.39
29,Arizona Cardinals,6,163,2240,378,5.9,8,3,138,122,170,1322,10,5,7.3,73,197,918,8,4.7,55,34,264,10,47.5,13.6,-63.85
30,Dallas Cowboys,6,168,2139,374,5.7,5,1,123,111,171,1280,9,4,6.9,57,189,859,10,4.5,58,49,357,8,48.4,7.8,-54.37
31,Jacksonville Jaguars,6,178,2340,388,6.0,3,2,136,153,216,1660,14,1,7.2,84,158,680,7,4.3,40,47,387,12,49.2,3.2,-78.84
32,Carolina Panthers,6,203,2279,385,5.9,6,3,136,121,174,1358,12,3,7.5,67,205,921,12,4.5,56,34,294,13,52.9,7.4,-66.71
,Avg 